order_purchase_timestamp,sales_volume
2017-01-05,32
2017-01-06,4
2017-01-07,6
2017-01-08,6
2017-01-09,7
2017-01-10,6
2017-01-11,12
2017-01-12,17
2017-01-13,11
2017-01-14,18
2017-01-15,38
2017-01-16,32
2017-01-17,45
2017-01-18,38
2017-01-19,45
2017-01-20,59
2017-01-21,65
2017-01-22,37
2017-01-23,76
2017-01-24,51
2017-01-25,86
2017-01-26,117
2017-01-27,98
2017-01-28,31
2017-01-29,74
2017-01-30,194
2017-01-31,113
2017-02-01,73
2017-02-02,83
2017-02-03,68
2017-02-04,79
2017-02-05,91
2017-02-06,95
2017-02-07,148
2017-02-08,109
2017-02-09,87
2017-02-10,83
2017-02-11,58
2017-02-12,69
2017-02-13,103
2017-02-14,92
2017-02-15,67
2017-02-16,63
2017-02-17,74
2017-02-18,81
2017-02-19,48
2017-02-20,83
2017-02-21,59
2017-02-22,77
2017-02-23,99
2017-02-24,86
2017-02-25,53
2017-02-26,69
2017-02-27,66
2017-02-28,89
2017-03-01,143
2017-03-02,85
2017-03-03,89
2017-03-04,98
2017-03-05,102
2017-03-06,135
2017-03-07,136
2017-03-08,102
2017-03-09,148
2017-03-10,111
2017-03-11,92
2017-03-12,79
2017-03-13,126
2017-03-14,136
2017-03-15,141
2017-03-16,173
2017-03-17,100
2017-03-18,81
2017-03-19,63
2017-03-20,145
2017-03-21,122
2017-03-22,143
2017-03-23,162
2017-03-24,94
2017-03-25,99
2017-03-26,75
2017-03-27,132
2017-03-28,132
2017-03-29,99
2017-03-30,96
2017-03-31,76
2017-04-01,71
2017-04-02,98
2017-04-03,116
2017-04-04,123
2017-04-05,109
2017-04-06,135
2017-04-07,107
2017-04-08,76
2017-04-09,83
2017-04-10,103
2017-04-11,91
2017-04-12,69
2017-04-13,68
2017-04-14,67
2017-04-15,58
2017-04-16,55
2017-04-17,71
2017-04-18,97
2017-04-19,137
2017-04-20,144
2017-04-21,86
2017-04-22,110
2017-04-23,96
2017-04-24,170
2017-04-25,145
2017-04-26,171
2017-04-27,143
2017-04-28,118
2017-04-29,103
2017-04-30,74
2017-05-01,148
2017-05-02,148
2017-05-03,123
2017-05-04,149
2017-05-05,137
2017-05-06,157
2017-05-07,134
2017-05-08,178
2017-05-09,210
2017-05-10,134
2017-05-11,152
2017-05-12,133
2017-05-13,91
2017-05-14,151
2017-05-15,193
2017-05-16,199
2017-05-17,173
2017-05-18,159
2017-05-19,212
2017-05-20,89
2017-05-21,185
2017-05-22,198
2017-05-23,176
2017-05-24,182
2017-05-25,144
2017-05-26,118
2017-05-27,109
2017-05-28,114
2017-05-29,200
2017-05-30,146
2017-05-31,160
2017-06-01,149
2017-06-02,145
2017-06-03,119
2017-06-04,111
2017-06-05,186
2017-06-06,189
2017-06-07,141
2017-06-08,169
2017-06-09,165
2017-06-10,90
2017-06-11,143
2017-06-12,196
2017-06-13,164
2017-06-14,168
2017-06-15,137
2017-06-16,116
2017-06-17,96
2017-06-18,115
2017-06-19,204
2017-06-20,138
2017-06-21,44
2017-06-22,111
2017-06-23,131
2017-06-24,87
2017-06-25,139
2017-06-26,97
2017-06-27,167
2017-06-28,140
2017-06-29,135
2017-06-30,102
2017-07-01,112
2017-07-02,132
2017-07-03,150
2017-07-04,145
2017-07-05,192
2017-07-06,177
2017-07-07,156
2017-07-08,99
2017-07-09,107
2017-07-10,184
2017-07-11,219
2017-07-12,194
2017-07-13,175
2017-07-14,190
2017-07-15,137
2017-07-16,375
2017-07-17,239
2017-07-18,262
2017-07-19,202
2017-07-20,212
2017-07-21,165
2017-07-22,117
2017-07-23,110
2017-07-24,203
2017-07-25,194
2017-07-26,185
2017-07-27,160
2017-07-28,177
2017-07-29,150
2017-07-30,151
2017-07-31,199
2017-08-01,210
2017-08-02,199
2017-08-03,188
2017-08-04,195
2017-08-05,138
2017-08-06,141
2017-08-07,210
2017-08-08,174
2017-08-09,184
2017-08-10,212
2017-08-11,211
2017-08-12,123
2017-08-13,133
2017-08-14,202
2017-08-15,231
2017-08-16,254
2017-08-17,185
2017-08-18,176
2017-08-19,158
2017-08-20,134
2017-08-21,267
2017-08-22,201
2017-08-23,408
2017-08-24,163
2017-08-25,148
2017-08-26,106
2017-08-27,181
2017-08-28,199
2017-08-29,190
2017-08-30,222
2017-08-31,204
2017-09-01,215
2017-09-02,134
2017-09-03,172
2017-09-04,175
2017-09-05,227
2017-09-06,180
2017-09-07,115
2017-09-08,165
2017-09-09,135
2017-09-10,177
2017-09-11,210
2017-09-12,333
2017-09-13,256
2017-09-14,251
2017-09-15,188
2017-09-16,146
2017-09-17,150
2017-09-18,275
2017-09-19,222
2017-09-20,222
2017-09-21,207
2017-09-22,183
2017-09-23,120
2017-09-24,141
2017-09-25,181
2017-09-26,216
2017-09-27,230
2017-09-28,199
2017-09-29,181
2017-09-30,136
2017-10-01,167
2017-10-02,232
2017-10-03,243
2017-10-04,186
2017-10-05,251
2017-10-06,195
2017-10-07,139
2017-10-08,154
2017-10-09,316
2017-10-10,241
2017-10-11,206
2017-10-12,183
2017-10-13,184
2017-10-14,141
2017-10-15,167
2017-10-16,270
2017-10-17,413
2017-10-18,314
2017-10-19,217
2017-10-20,143
2017-10-21,141
2017-10-22,223
2017-10-23,234
2017-10-24,240
2017-10-25,201
2017-10-26,242
2017-10-27,201
2017-10-28,110
2017-10-29,204
2017-10-30,209
2017-10-31,247
2017-11-01,157
2017-11-02,171
2017-11-03,218
2017-11-04,181
2017-11-05,191
2017-11-06,236
2017-11-07,202
2017-11-08,239
2017-11-09,277
2017-11-10,231
2017-11-11,217
2017-11-12,204
2017-11-13,274
2017-11-14,278
2017-11-15,253
2017-11-16,316
2017-11-17,304
2017-11-18,207
2017-11-19,198
2017-11-20,316
2017-11-21,308
2017-11-22,317
2017-11-23,510
2017-11-24,1660
2017-11-25,716
2017-11-26,551
2017-11-27,603
2017-11-28,536
2017-11-29,423
2017-11-30,336
2017-12-01,369
2017-12-02,261
2017-12-03,298
2017-12-04,426
2017-12-05,420
2017-12-06,376
2017-12-07,296
2017-12-08,262
2017-12-09,186
2017-12-10,230
2017-12-11,330
2017-12-12,339
2017-12-13,406
2017-12-14,235
2017-12-15,224
2017-12-16,160
2017-12-17,180
2017-12-18,269
2017-12-19,248
2017-12-20,232
2017-12-21,173
2017-12-22,159
2017-12-23,138
2017-12-24,65
2017-12-25,116
2017-12-26,196
2017-12-27,206
2017-12-28,170
2017-12-29,178
2017-12-30,121
2017-12-31,82
2018-01-01,90
2018-01-02,267
2018-01-03,284
2018-01-04,305
2018-01-05,294
2018-01-06,323
2018-01-07,246
2018-01-08,400
2018-01-09,298
2018-01-10,400
2018-01-11,414
2018-01-12,361
2018-01-13,273
2018-01-14,277
2018-01-15,395
2018-01-16,464
2018-01-17,319
2018-01-18,320
2018-01-19,313
2018-01-20,246
2018-01-21,235
2018-01-22,411
2018-01-23,351
2018-01-24,304
2018-01-25,305
2018-01-26,319
2018-01-27,228
2018-01-28,194
2018-01-29,360
2018-01-30,435
2018-01-31,317
2018-02-01,358
2018-02-02,326
2018-02-03,229
2018-02-04,247
2018-02-05,366
2018-02-06,349
2018-02-07,344
2018-02-08,289
2018-02-09,255
2018-02-10,225
2018-02-11,212
2018-02-12,306
2018-02-13,322
2018-02-14,427
2018-02-15,363
2018-02-16,300
2018-02-17,252
2018-02-18,276
2018-02-19,355
2018-02-20,349
2018-02-21,449
2018-02-22,659
2018-02-23,290
2018-02-24,232
2018-02-25,308
2018-02-26,391
2018-02-27,507
2018-02-28,419
2018-03-01,385
2018-03-02,351
2018-03-03,249
2018-03-04,267
2018-03-05,420
2018-03-06,364
2018-03-07,333
2018-03-08,342
2018-03-09,271
2018-03-10,283
2018-03-11,262
2018-03-12,296
2018-03-13,330
2018-03-14,292
2018-03-15,381
2018-03-16,365
2018-03-17,209
2018-03-18,250
2018-03-19,489
2018-03-20,421
2018-03-21,353
2018-03-22,350
2018-03-23,307
2018-03-24,224
2018-03-25,291
2018-03-26,396
2018-03-27,383
2018-03-28,269
2018-03-29,264
2018-03-30,212
2018-03-31,228
2018-04-01,280
2018-04-02,421
2018-04-03,316
2018-04-04,322
2018-04-05,351
2018-04-06,243
2018-04-07,213
2018-04-08,238
2018-04-09,347
2018-04-10,283
2018-04-11,367
2018-04-12,414
2018-04-13,328
2018-04-14,219
2018-04-15,333
2018-04-16,376
2018-04-17,426
2018-04-18,367
2018-04-19,506
2018-04-20,276
2018-04-21,184
2018-04-22,282
2018-04-23,386
2018-04-24,378
2018-04-25,368
2018-04-26,349
2018-04-27,363
2018-04-28,227
2018-04-29,208
2018-04-30,352
2018-05-01,304
2018-05-02,405
2018-05-03,436
2018-05-04,372
2018-05-05,250
2018-05-06,281
2018-05-07,501
2018-05-08,450
2018-05-09,474
2018-05-10,427
2018-05-11,341
2018-05-12,303
2018-05-13,358
2018-05-14,477
2018-05-15,548
2018-05-16,476
2018-05-17,293
2018-05-18,341
2018-05-19,221
2018-05-20,233
2018-05-21,295
2018-05-22,284
2018-05-23,173
2018-05-24,158
2018-05-25,172
2018-05-26,139
2018-05-27,125
2018-05-28,203
2018-05-29,216
2018-05-30,182
2018-05-31,161
2018-06-01,253
2018-06-02,175
2018-06-03,254
2018-06-04,309
2018-06-05,314
2018-06-06,358
2018-06-07,286
2018-06-08,340
2018-06-09,225
2018-06-10,264
2018-06-11,409
2018-06-12,360
2018-06-13,376
2018-06-14,270
2018-06-15,239
2018-06-16,189
2018-06-17,203
2018-06-18,336
2018-06-19,294
2018-06-20,300
2018-06-21,303
2018-06-22,244
2018-06-23,204
2018-06-24,241
2018-06-25,339
2018-06-26,365
2018-06-27,303
2018-06-28,352
2018-06-29,234
2018-06-30,156
2018-07-01,229
2018-07-02,257
2018-07-03,275
2018-07-04,336
2018-07-05,263
2018-07-06,139
2018-07-07,113
2018-07-08,198
2018-07-09,169
2018-07-10,179
2018-07-11,168
2018-07-12,136
2018-07-13,225
2018-07-14,178
2018-07-15,186
2018-07-16,296
2018-07-17,272
2018-07-18,400
2018-07-19,342
2018-07-20,335
2018-07-21,233
2018-07-22,290
2018-07-23,410
2018-07-24,340
2018-07-25,461
2018-07-26,358
2018-07-27,253
2018-07-28,270
2018-07-29,247
2018-07-30,350
2018-07-31,478
2018-08-01,404
2018-08-02,376
2018-08-03,397
2018-08-04,321
2018-08-05,357
2018-08-06,515
2018-08-07,543
2018-08-08,432
2018-08-09,380
2018-08-10,285
2018-08-11,258
2018-08-12,304
2018-08-13,368
2018-08-14,380
2018-08-15,362
2018-08-16,420
2018-08-17,335
2018-08-18,216
2018-08-19,256
2018-08-20,328
2018-08-21,278
2018-08-22,258
2018-08-23,184
2018-08-24,156
2018-08-25,81
2018-08-26,92
2018-08-27,78
2018-08-28,54
2018-08-29,27
2018-09-03,1
