order_purchase_timestamp,product_category_name_english,sales_volume,revenue
2017-01-08,bed_bath_table,1,68.9
2017-01-10,bed_bath_table,2,114.8
2017-01-13,bed_bath_table,1,69.9
2017-01-14,bed_bath_table,1,65.9
2017-01-15,bed_bath_table,1,48.9
2017-01-17,bed_bath_table,1,48.9
2017-01-18,bed_bath_table,1,68.9
2017-01-19,bed_bath_table,3,289.3
2017-01-20,bed_bath_table,1,124.9
2017-01-21,bed_bath_table,5,619.5
2017-01-22,bed_bath_table,2,149.4
2017-01-23,bed_bath_table,4,299.6
2017-01-24,bed_bath_table,2,89.9
2017-01-25,bed_bath_table,2,179.8
2017-01-26,bed_bath_table,5,351.9
2017-01-27,bed_bath_table,2,154.89
2017-01-28,bed_bath_table,2,118.8
2017-01-29,bed_bath_table,3,269.79
2017-01-30,bed_bath_table,8,775.79
2017-01-31,bed_bath_table,6,449.49
2017-02-01,bed_bath_table,4,205.7
2017-02-02,bed_bath_table,1,109.99
2017-02-03,bed_bath_table,3,191.8
2017-02-04,bed_bath_table,3,309.8
2017-02-05,bed_bath_table,10,1183.87
2017-02-06,bed_bath_table,10,955.29
2017-02-07,bed_bath_table,10,692.99
2017-02-08,bed_bath_table,8,474.82
2017-02-09,bed_bath_table,6,845.6
2017-02-10,bed_bath_table,9,1346.19
2017-02-11,bed_bath_table,4,132.7
2017-02-12,bed_bath_table,6,664.1
2017-02-13,bed_bath_table,11,808
2017-02-14,bed_bath_table,18,2576.38
2017-02-15,bed_bath_table,8,682.18
2017-02-16,bed_bath_table,8,754.74
2017-02-17,bed_bath_table,11,1031.05
2017-02-18,bed_bath_table,6,712.67
2017-02-19,bed_bath_table,2,193.98
2017-02-20,bed_bath_table,7,507.7
2017-02-21,bed_bath_table,3,500.89
2017-02-22,bed_bath_table,6,659.49
2017-02-23,bed_bath_table,7,499.3
2017-02-24,bed_bath_table,9,911.4
2017-02-25,bed_bath_table,7,419
2017-02-26,bed_bath_table,2,179.8
2017-02-27,bed_bath_table,7,1116.36
2017-02-28,bed_bath_table,6,545.3
2017-03-01,bed_bath_table,19,1910.76
2017-03-02,bed_bath_table,4,318.6
2017-03-03,bed_bath_table,10,882.24
2017-03-04,bed_bath_table,7,725.66
2017-03-05,bed_bath_table,10,863.09
2017-03-06,bed_bath_table,7,549.39
2017-03-07,bed_bath_table,13,1379.36
2017-03-08,bed_bath_table,12,1249.62
2017-03-09,bed_bath_table,19,1843.76
2017-03-10,bed_bath_table,7,702.75
2017-03-11,bed_bath_table,23,2536.02
2017-03-12,bed_bath_table,6,427.49
2017-03-13,bed_bath_table,8,817.39
2017-03-14,bed_bath_table,9,1016.28
2017-03-15,bed_bath_table,8,835.07
2017-03-16,bed_bath_table,21,1330.9
2017-03-17,bed_bath_table,11,753.7
2017-03-18,bed_bath_table,10,751.97
2017-03-19,bed_bath_table,3,359.7
2017-03-20,bed_bath_table,17,1088.78
2017-03-21,bed_bath_table,4,417.79
2017-03-22,bed_bath_table,21,2468.08
2017-03-23,bed_bath_table,25,1679.78
2017-03-24,bed_bath_table,10,1117.18
2017-03-25,bed_bath_table,5,307.68
2017-03-26,bed_bath_table,6,504.59
2017-03-27,bed_bath_table,9,944.09
2017-03-28,bed_bath_table,11,582.9
2017-03-29,bed_bath_table,12,1223.09
2017-03-30,bed_bath_table,12,465.31
2017-03-31,bed_bath_table,4,260.6
2017-04-01,bed_bath_table,16,1020.65
2017-04-02,bed_bath_table,22,2121.07
2017-04-03,bed_bath_table,17,1357.2
2017-04-04,bed_bath_table,23,1720.58
2017-04-05,bed_bath_table,20,1063.18
2017-04-06,bed_bath_table,13,1283.75
2017-04-07,bed_bath_table,6,686.3
2017-04-08,bed_bath_table,5,263.69
2017-04-09,bed_bath_table,7,282.9
2017-04-10,bed_bath_table,8,743.89
2017-04-11,bed_bath_table,5,456.69
2017-04-12,bed_bath_table,3,184.7
2017-04-13,bed_bath_table,3,295.9
2017-04-14,bed_bath_table,6,192.4
2017-04-15,bed_bath_table,6,395.4
2017-04-16,bed_bath_table,4,463.2
2017-04-17,bed_bath_table,3,423.7
2017-04-18,bed_bath_table,22,2137.3
2017-04-19,bed_bath_table,13,1095.25
2017-04-20,bed_bath_table,19,1302.08
2017-04-21,bed_bath_table,10,746
2017-04-22,bed_bath_table,13,818.33
2017-04-23,bed_bath_table,9,705.29
2017-04-24,bed_bath_table,14,1188.78
2017-04-25,bed_bath_table,7,887.9
2017-04-26,bed_bath_table,15,2984.78
2017-04-27,bed_bath_table,4,419.87
2017-04-28,bed_bath_table,9,599.18
2017-04-29,bed_bath_table,12,1066.19
2017-04-30,bed_bath_table,7,577.59
2017-05-01,bed_bath_table,9,826.98
2017-05-02,bed_bath_table,12,1315.86
2017-05-03,bed_bath_table,11,1187.79
2017-05-04,bed_bath_table,7,569.3
2017-05-05,bed_bath_table,14,874.55
2017-05-06,bed_bath_table,14,676.49
2017-05-07,bed_bath_table,9,677.28
2017-05-08,bed_bath_table,14,1220.73
2017-05-09,bed_bath_table,15,1420.56
2017-05-10,bed_bath_table,9,891.34
2017-05-11,bed_bath_table,11,842.09
2017-05-12,bed_bath_table,15,1235.89
2017-05-13,bed_bath_table,9,1009.19
2017-05-14,bed_bath_table,17,1775.31
2017-05-15,bed_bath_table,14,867.56
2017-05-16,bed_bath_table,16,1482.58
2017-05-17,bed_bath_table,11,607.18
2017-05-18,bed_bath_table,8,688.4
2017-05-19,bed_bath_table,16,1184.5
2017-05-20,bed_bath_table,7,731.63
2017-05-21,bed_bath_table,23,2064.19
2017-05-22,bed_bath_table,22,2152.13
2017-05-23,bed_bath_table,20,1553.2
2017-05-24,bed_bath_table,6,844.1
2017-05-25,bed_bath_table,14,854.61
2017-05-26,bed_bath_table,11,1622.34
2017-05-27,bed_bath_table,18,1602.65
2017-05-28,bed_bath_table,23,2198.5
2017-05-29,bed_bath_table,20,1487.69
2017-05-30,bed_bath_table,9,640.42
2017-05-31,bed_bath_table,12,1082.89
2017-06-01,bed_bath_table,13,1027.3
2017-06-02,bed_bath_table,13,1296.35
2017-06-03,bed_bath_table,7,494.9
2017-06-04,bed_bath_table,10,867.82
2017-06-05,bed_bath_table,29,2068.78
2017-06-06,bed_bath_table,50,2881.14
2017-06-07,bed_bath_table,12,936.59
2017-06-08,bed_bath_table,11,1742.86
2017-06-09,bed_bath_table,8,587.35
2017-06-10,bed_bath_table,5,489.87
2017-06-11,bed_bath_table,8,991.98
2017-06-12,bed_bath_table,21,2064.29
2017-06-13,bed_bath_table,11,928.99
2017-06-14,bed_bath_table,33,2610.37
2017-06-15,bed_bath_table,34,2305.85
2017-06-16,bed_bath_table,11,1185.18
2017-06-17,bed_bath_table,10,812.83
2017-06-18,bed_bath_table,12,768.1
2017-06-19,bed_bath_table,21,1582.48
2017-06-20,bed_bath_table,8,697.48
2017-06-21,bed_bath_table,2,209.8
2017-06-22,bed_bath_table,13,810.54
2017-06-23,bed_bath_table,11,1260.15
2017-06-24,bed_bath_table,18,1405.99
2017-06-25,bed_bath_table,8,959.4
2017-06-26,bed_bath_table,5,467.59
2017-06-27,bed_bath_table,17,2254.1
2017-06-28,bed_bath_table,19,1906.91
2017-06-29,bed_bath_table,16,1836.2
2017-06-30,bed_bath_table,11,988.09
2017-07-01,bed_bath_table,13,964.85
2017-07-02,bed_bath_table,16,1874.77
2017-07-03,bed_bath_table,24,2133.64
2017-07-04,bed_bath_table,24,2388.53
2017-07-05,bed_bath_table,26,2643.41
2017-07-06,bed_bath_table,19,2610.25
2017-07-07,bed_bath_table,26,2391.32
2017-07-08,bed_bath_table,12,1343.29
2017-07-09,bed_bath_table,15,919.68
2017-07-10,bed_bath_table,21,2246.46
2017-07-11,bed_bath_table,20,2320.43
2017-07-12,bed_bath_table,27,3163.85
2017-07-13,bed_bath_table,25,3181.21
2017-07-14,bed_bath_table,25,2369.98
2017-07-15,bed_bath_table,22,2410.09
2017-07-16,bed_bath_table,16,2190.88
2017-07-17,bed_bath_table,35,3739.06
2017-07-18,bed_bath_table,33,3948.9
2017-07-19,bed_bath_table,29,3197.09
2017-07-20,bed_bath_table,26,3408.53
2017-07-21,bed_bath_table,28,5826.32
2017-07-22,bed_bath_table,25,2675.47
2017-07-23,bed_bath_table,15,1165.35
2017-07-24,bed_bath_table,22,2170.96
2017-07-25,bed_bath_table,20,2520.58
2017-07-26,bed_bath_table,18,1421.41
2017-07-27,bed_bath_table,16,1460.68
2017-07-28,bed_bath_table,15,2021.16
2017-07-29,bed_bath_table,27,3276.99
2017-07-30,bed_bath_table,22,1710.45
2017-07-31,bed_bath_table,14,1184.03
2017-08-01,bed_bath_table,15,1404.97
2017-08-02,bed_bath_table,33,4161.5
2017-08-03,bed_bath_table,15,2025.9
2017-08-04,bed_bath_table,14,1695.89
2017-08-05,bed_bath_table,9,886.38
2017-08-06,bed_bath_table,14,960.34
2017-08-07,bed_bath_table,19,1468.58
2017-08-08,bed_bath_table,35,4136.4
2017-08-09,bed_bath_table,17,2515.09
2017-08-10,bed_bath_table,27,2948.92
2017-08-11,bed_bath_table,26,3041.93
2017-08-12,bed_bath_table,18,1790.04
2017-08-13,bed_bath_table,18,1799.76
2017-08-14,bed_bath_table,36,2871.19
2017-08-15,bed_bath_table,29,3198.31
2017-08-16,bed_bath_table,35,4336.09
2017-08-17,bed_bath_table,27,2771.22
2017-08-18,bed_bath_table,12,1313.1
2017-08-19,bed_bath_table,16,1693.35
2017-08-20,bed_bath_table,15,1928.78
2017-08-21,bed_bath_table,20,2580.84
2017-08-22,bed_bath_table,7,580.7
2017-08-23,bed_bath_table,10,858.38
2017-08-24,bed_bath_table,15,1439.83
2017-08-25,bed_bath_table,28,2936.12
2017-08-26,bed_bath_table,17,1798
2017-08-27,bed_bath_table,14,923.34
2017-08-28,bed_bath_table,17,1327.97
2017-08-29,bed_bath_table,13,1836.29
2017-08-30,bed_bath_table,24,2295.46
